pool,policy,n_true,true_admitted,true_admission_rate,true_wilson_low,true_wilson_high,negative_mode,negative_trials,negative_n_per_trial,false_admissions_mean,false_admissions_max,false_admission_rate_mean,validation_debt_per_100,reference
ASR objective gate controls,strict_hard_capital,131,99,0.7557251908396947,0.6755549161702149,0.8213249054067192,same_category_different_rule,5000,130,0.0,0,0.0,0.0,LXXIII same-category different-rule controls
ASR objective gate controls,balanced_candidate_pool,131,107,0.816793893129771,0.7418556590748259,0.873682030341376,same_category_different_rule,5000,130,22.6846,35,0.17449692307692308,17.44969230769231,LXXIII same-category different-rule controls
ASR objective gate controls,lenient_screening,131,110,0.8396946564885496,0.7673398621173624,0.8926945277385648,same_category_different_rule,5000,130,24.9018,37,0.19155230769230772,19.155230769230773,LXXIII same-category different-rule controls
ASR patch-differential oracle,mddc_strict_patch_differential_surrogate,99,55,0.5555555555555556,0.4574214280657185,0.6495393261489675,any_deranged,1000,99,21.526,33,0.21743434343434345,21.743434343434345,LXXVII patch-diff surrogate controls
ASR patch-differential oracle,mddc_strict_patch_differential_surrogate,99,55,0.5555555555555556,0.4574214280657185,0.6495393261489675,cross_category,1000,99,14.957,29,0.1510808080808081,15.108080808080809,LXXVII patch-diff surrogate controls
