dataset,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,validation_debt_cost,debt_adjusted_utility,meets_false_constraint
CVEfixes,category_plus_coverage,Category+coverage,0.05084745762711865,7485,2794,5183,10279,12668,8000,0.590858856962425,0.34925,0.7281836754548108,0.49733888136249277,1.1749022298275182,-0.5840433728650933,False
CVEfixes,category_plus_coverage,Category+coverage,0.047619047619047616,7544,2969,5124,10513,12668,8000,0.5955162614461635,0.371125,0.7175877485018548,0.5086607315657055,1.2399289712167445,-0.644412709770581,False
CVEfixes,category_plus_coverage,Category+coverage,0.04597701149425287,7561,3007,5107,10568,12668,8000,0.5968582254499526,0.375875,0.7154617713853142,0.5113218502032127,1.2539765361476725,-0.65711831069772,False
CVEfixes,category_plus_coverage,Category+coverage,0.043478260869565216,7613,3152,5055,10765,12668,8000,0.6009630565203663,0.394,0.7071992568509057,0.5208534933230115,1.307801910536059,-0.7068388540156927,False
CVEfixes,category_plus_coverage,Category+coverage,0.04040404040404041,7645,3274,5023,10919,12668,8000,0.6034891064098516,0.40925,0.7001556919131788,0.5283046255080317,1.3532929546729386,-0.7498038482630869,False
CVEfixes,category_plus_coverage,Category+coverage,0.037037037037037035,7703,3460,4965,11163,12668,8000,0.6080675718345437,0.4325,0.690047478276449,0.5401103154635185,1.42248862281454,-0.8144210509799961,False
CVEfixes,category_plus_coverage,Category+coverage,0.03418803418803419,7769,3594,4899,11363,12668,8000,0.6132775497316072,0.44925,0.6837102877761154,0.5497871105089994,1.4719199680925483,-0.858642418360941,False
CVEfixes,category_plus_coverage,Category+coverage,0.032520325203252036,7807,3682,4861,11489,12668,8000,0.616277233975371,0.46025,0.6795195404299765,0.5558834913876524,1.5044748660755398,-0.8881976321001688,False
CVEfixes,category_plus_coverage,Category+coverage,0.029850746268656716,7822,3835,4846,11657,12668,8000,0.6174613198610672,0.479375,0.6710131251608475,0.5640119992258564,1.561960269996026,-0.9444989501349588,False
CVEfixes,category_plus_coverage,Category+coverage,0.02727272727272727,7845,3961,4823,11806,12668,8000,0.6192769182191348,0.495125,0.6644926308656616,0.5712212115347397,1.6091168310219532,-0.9898399128028185,False
CVEfixes,category_plus_coverage,Category+coverage,0.024096385542168676,7867,4109,4801,11976,12668,8000,0.621013577518156,0.513625,0.6568971275885104,0.5794464873233985,1.6645939299866308,-1.0435803524684748,False
CVEfixes,category_plus_coverage,Category+coverage,0.021505376344086023,7881,4252,4787,12133,12668,8000,0.6221187243448059,0.5315,0.64955081183549,0.587042771434101,1.7183224574855036,-1.0962037331406977,False
CVEfixes,category_plus_coverage,Category+coverage,0.018518518518518517,7899,4402,4769,12301,12668,8000,0.6235396274076414,0.55025,0.6421429152101455,0.5951712792723051,1.7746236571117049,-1.1510840297040634,False
CVEfixes,category_plus_coverage,Category+coverage,0.01639344262295082,7904,4483,4764,12387,12668,8000,0.6239343227028734,0.560375,0.6380883183983208,0.5993323011418619,1.8051080343813746,-1.181173711678501,False
CVEfixes,category_plus_coverage,Category+coverage,0.014492753623188406,7907,4537,4761,12444,12668,8000,0.6241711398800126,0.567125,0.6354066216650595,0.6020901877298239,1.825436724416488,-1.2012655845364755,False
CVEfixes,category_plus_coverage,Category+coverage,0.0125,7910,4567,4758,12477,12668,8000,0.6244079570571519,0.570875,0.6339664983569768,0.6036868589123282,1.8367073536813285,-1.2122993966241766,False
