mode,trial,policy,n_pairs,false_admissions,false_admission_rate
cross_category,11,category_gate,1500,505,0.33666666666666667
cross_category,11,mddc_strict,1500,90,0.06
same_category_different_cve,11,structural_only,1500,1258,0.8386666666666667
same_category_different_cve,11,category_gate,1500,990,0.66
same_category_different_cve,11,mddc_strict,1500,227,0.15133333333333332
any_deranged,12,structural_only,1500,1213,0.8086666666666666
any_deranged,12,category_gate,1500,561,0.374
any_deranged,12,mddc_strict,1500,118,0.07866666666666666
cross_category,12,structural_only,1500,1193,0.7953333333333333
cross_category,12,category_gate,1500,525,0.35
cross_category,12,mddc_strict,1500,89,0.059333333333333335
same_category_different_cve,12,structural_only,1500,1210,0.8066666666666666
same_category_different_cve,12,category_gate,1500,969,0.646
same_category_different_cve,12,mddc_strict,1500,205,0.13666666666666666
any_deranged,13,structural_only,1500,1223,0.8153333333333334
any_deranged,13,category_gate,1500,548,0.36533333333333334
any_deranged,13,mddc_strict,1500,112,0.07466666666666667
cross_category,13,structural_only,1500,1194,0.796
cross_category,13,category_gate,1500,540,0.36
cross_category,13,mddc_strict,1500,94,0.06266666666666666
same_category_different_cve,13,structural_only,1500,1235,0.8233333333333334
same_category_different_cve,13,category_gate,1500,995,0.6633333333333333
same_category_different_cve,13,mddc_strict,1500,218,0.14533333333333334
any_deranged,14,structural_only,1500,1216,0.8106666666666666
any_deranged,14,category_gate,1500,540,0.36
any_deranged,14,mddc_strict,1500,92,0.06133333333333333
cross_category,14,structural_only,1500,1226,0.8173333333333334
cross_category,14,category_gate,1500,519,0.346
cross_category,14,mddc_strict,1500,103,0.06866666666666667
same_category_different_cve,14,structural_only,1500,1236,0.824
same_category_different_cve,14,category_gate,1500,987,0.658
same_category_different_cve,14,mddc_strict,1500,202,0.13466666666666666
any_deranged,15,structural_only,1500,1242,0.828
any_deranged,15,category_gate,1500,570,0.38
any_deranged,15,mddc_strict,1500,82,0.05466666666666667
cross_category,15,structural_only,1500,1221,0.814
cross_category,15,category_gate,1500,514,0.3426666666666667
cross_category,15,mddc_strict,1500,93,0.062
same_category_different_cve,15,structural_only,1500,1232,0.8213333333333334
same_category_different_cve,15,category_gate,1500,999,0.666
same_category_different_cve,15,mddc_strict,1500,235,0.15666666666666668
any_deranged,16,structural_only,1500,1223,0.8153333333333334
any_deranged,16,category_gate,1500,523,0.3486666666666667
any_deranged,16,mddc_strict,1500,91,0.06066666666666667
cross_category,16,structural_only,1500,1203,0.802
cross_category,16,category_gate,1500,531,0.354
cross_category,16,mddc_strict,1500,115,0.07666666666666666
same_category_different_cve,16,structural_only,1500,1213,0.8086666666666666
same_category_different_cve,16,category_gate,1500,991,0.6606666666666666
same_category_different_cve,16,mddc_strict,1500,207,0.138
any_deranged,17,structural_only,1500,1235,0.8233333333333334
any_deranged,17,category_gate,1500,568,0.37866666666666665
any_deranged,17,mddc_strict,1500,94,0.06266666666666666
cross_category,17,structural_only,1500,1212,0.808
cross_category,17,category_gate,1500,515,0.3433333333333333
cross_category,17,mddc_strict,1500,94,0.06266666666666666
same_category_different_cve,17,structural_only,1500,1273,0.8486666666666667
same_category_different_cve,17,category_gate,1500,1003,0.6686666666666666
same_category_different_cve,17,mddc_strict,1500,219,0.146
any_deranged,18,structural_only,1500,1211,0.8073333333333333
any_deranged,18,category_gate,1500,545,0.36333333333333334
any_deranged,18,mddc_strict,1500,102,0.068
cross_category,18,structural_only,1500,1193,0.7953333333333333
cross_category,18,category_gate,1500,506,0.3373333333333333
cross_category,18,mddc_strict,1500,78,0.052
same_category_different_cve,18,structural_only,1500,1251,0.834
same_category_different_cve,18,category_gate,1500,1024,0.6826666666666666
same_category_different_cve,18,mddc_strict,1500,219,0.146
any_deranged,19,structural_only,1500,1216,0.8106666666666666
any_deranged,19,category_gate,1500,532,0.3546666666666667
any_deranged,19,mddc_strict,1500,82,0.05466666666666667
cross_category,19,structural_only,1500,1200,0.8
cross_category,19,category_gate,1500,544,0.3626666666666667
cross_category,19,mddc_strict,1500,80,0.05333333333333334
same_category_different_cve,19,structural_only,1500,1235,0.8233333333333334
same_category_different_cve,19,category_gate,1500,985,0.6566666666666666
same_category_different_cve,19,mddc_strict,1500,209,0.13933333333333334
any_deranged,20,structural_only,1500,1232,0.8213333333333334
any_deranged,20,category_gate,1500,551,0.36733333333333335
any_deranged,20,mddc_strict,1500,129,0.086
cross_category,20,structural_only,1500,1209,0.806
cross_category,20,category_gate,1500,487,0.32466666666666666
cross_category,20,mddc_strict,1500,87,0.058
same_category_different_cve,20,structural_only,1500,1223,0.8153333333333334
same_category_different_cve,20,category_gate,1500,972,0.648
same_category_different_cve,20,mddc_strict,1500,189,0.126
any_deranged,21,structural_only,1500,1212,0.808
any_deranged,21,category_gate,1500,536,0.35733333333333334
any_deranged,21,mddc_strict,1500,113,0.07533333333333334
cross_category,21,structural_only,1500,1180,0.7866666666666666
cross_category,21,category_gate,1500,499,0.33266666666666667
cross_category,21,mddc_strict,1500,93,0.062
same_category_different_cve,21,structural_only,1500,1218,0.812
same_category_different_cve,21,category_gate,1500,972,0.648
same_category_different_cve,21,mddc_strict,1500,210,0.14
any_deranged,22,structural_only,1500,1194,0.796
any_deranged,22,category_gate,1500,547,0.36466666666666664
any_deranged,22,mddc_strict,1500,94,0.06266666666666666
cross_category,22,structural_only,1500,1194,0.796
cross_category,22,category_gate,1500,492,0.328
cross_category,22,mddc_strict,1500,100,0.06666666666666667
same_category_different_cve,22,structural_only,1500,1221,0.814
same_category_different_cve,22,category_gate,1500,998,0.6653333333333333
same_category_different_cve,22,mddc_strict,1500,220,0.14666666666666667
any_deranged,23,structural_only,1500,1245,0.83
any_deranged,23,category_gate,1500,546,0.364
any_deranged,23,mddc_strict,1500,101,0.06733333333333333
cross_category,23,structural_only,1500,1209,0.806
cross_category,23,category_gate,1500,507,0.338
cross_category,23,mddc_strict,1500,100,0.06666666666666667
same_category_different_cve,23,structural_only,1500,1247,0.8313333333333334
same_category_different_cve,23,category_gate,1500,989,0.6593333333333333
same_category_different_cve,23,mddc_strict,1500,202,0.13466666666666666
any_deranged,24,structural_only,1500,1204,0.8026666666666666
any_deranged,24,category_gate,1500,552,0.368
any_deranged,24,mddc_strict,1500,100,0.06666666666666667
cross_category,24,structural_only,1500,1228,0.8186666666666667
cross_category,24,category_gate,1500,529,0.3526666666666667
cross_category,24,mddc_strict,1500,98,0.06533333333333333
same_category_different_cve,24,structural_only,1500,1234,0.8226666666666667
same_category_different_cve,24,category_gate,1500,955,0.6366666666666667
same_category_different_cve,24,mddc_strict,1500,195,0.13
any_deranged,25,structural_only,1500,1185,0.79
any_deranged,25,category_gate,1500,538,0.3586666666666667
any_deranged,25,mddc_strict,1500,96,0.064
cross_category,25,structural_only,1500,1193,0.7953333333333333
cross_category,25,category_gate,1500,517,0.3446666666666667
cross_category,25,mddc_strict,1500,92,0.06133333333333333
same_category_different_cve,25,structural_only,1500,1265,0.8433333333333334
same_category_different_cve,25,category_gate,1500,1000,0.6666666666666666
same_category_different_cve,25,mddc_strict,1500,212,0.14133333333333334
any_deranged,26,structural_only,1500,1211,0.8073333333333333
any_deranged,26,category_gate,1500,551,0.36733333333333335
any_deranged,26,mddc_strict,1500,91,0.06066666666666667
cross_category,26,structural_only,1500,1219,0.8126666666666666
cross_category,26,category_gate,1500,550,0.36666666666666664
cross_category,26,mddc_strict,1500,95,0.06333333333333334
same_category_different_cve,26,structural_only,1500,1225,0.8166666666666667
same_category_different_cve,26,category_gate,1500,967,0.6446666666666667
same_category_different_cve,26,mddc_strict,1500,214,0.14266666666666666
any_deranged,27,structural_only,1500,1240,0.8266666666666667
any_deranged,27,category_gate,1500,552,0.368
any_deranged,27,mddc_strict,1500,98,0.06533333333333333
cross_category,27,structural_only,1500,1195,0.7966666666666666
cross_category,27,category_gate,1500,514,0.3426666666666667
cross_category,27,mddc_strict,1500,99,0.066
same_category_different_cve,27,structural_only,1500,1232,0.8213333333333334
same_category_different_cve,27,category_gate,1500,974,0.6493333333333333
same_category_different_cve,27,mddc_strict,1500,205,0.13666666666666666
any_deranged,28,structural_only,1500,1222,0.8146666666666667
any_deranged,28,category_gate,1500,534,0.356
any_deranged,28,mddc_strict,1500,93,0.062
cross_category,28,structural_only,1500,1201,0.8006666666666666
cross_category,28,category_gate,1500,535,0.3566666666666667
cross_category,28,mddc_strict,1500,93,0.062
same_category_different_cve,28,structural_only,1500,1209,0.806
same_category_different_cve,28,category_gate,1500,972,0.648
same_category_different_cve,28,mddc_strict,1500,233,0.15533333333333332
any_deranged,29,structural_only,1500,1223,0.8153333333333334
any_deranged,29,category_gate,1500,567,0.378
any_deranged,29,mddc_strict,1500,106,0.07066666666666667
cross_category,29,structural_only,1500,1174,0.7826666666666666
cross_category,29,category_gate,1500,483,0.322
cross_category,29,mddc_strict,1500,88,0.058666666666666666
same_category_different_cve,29,structural_only,1500,1237,0.8246666666666667
same_category_different_cve,29,category_gate,1500,991,0.6606666666666666
same_category_different_cve,29,mddc_strict,1500,211,0.14066666666666666
any_deranged,30,structural_only,1500,1209,0.806
any_deranged,30,category_gate,1500,552,0.368
any_deranged,30,mddc_strict,1500,94,0.06266666666666666
cross_category,30,structural_only,1500,1186,0.7906666666666666
cross_category,30,category_gate,1500,506,0.3373333333333333
cross_category,30,mddc_strict,1500,87,0.058
same_category_different_cve,30,structural_only,1500,1211,0.8073333333333333
same_category_different_cve,30,category_gate,1500,941,0.6273333333333333
same_category_different_cve,30,mddc_strict,1500,216,0.144
any_deranged,31,structural_only,1500,1201,0.8006666666666666
any_deranged,31,category_gate,1500,503,0.3353333333333333
any_deranged,31,mddc_strict,1500,95,0.06333333333333334
cross_category,31,structural_only,1500,1191,0.794
cross_category,31,category_gate,1500,513,0.342
cross_category,31,mddc_strict,1500,94,0.06266666666666666
same_category_different_cve,31,structural_only,1500,1216,0.8106666666666666
same_category_different_cve,31,category_gate,1500,949,0.6326666666666667
same_category_different_cve,31,mddc_strict,1500,192,0.128
any_deranged,32,structural_only,1500,1217,0.8113333333333334
any_deranged,32,category_gate,1500,562,0.37466666666666665
any_deranged,32,mddc_strict,1500,104,0.06933333333333333
cross_category,32,structural_only,1500,1235,0.8233333333333334
cross_category,32,category_gate,1500,555,0.37
cross_category,32,mddc_strict,1500,104,0.06933333333333333
same_category_different_cve,32,structural_only,1500,1246,0.8306666666666667
same_category_different_cve,32,category_gate,1500,946,0.6306666666666667
same_category_different_cve,32,mddc_strict,1500,206,0.13733333333333334
any_deranged,33,structural_only,1500,1226,0.8173333333333334
any_deranged,33,category_gate,1500,517,0.3446666666666667
any_deranged,33,mddc_strict,1500,92,0.06133333333333333
cross_category,33,structural_only,1500,1194,0.796
cross_category,33,category_gate,1500,500,0.3333333333333333
cross_category,33,mddc_strict,1500,89,0.059333333333333335
same_category_different_cve,33,structural_only,1500,1234,0.8226666666666667
same_category_different_cve,33,category_gate,1500,987,0.658
same_category_different_cve,33,mddc_strict,1500,211,0.14066666666666666
any_deranged,34,structural_only,1500,1226,0.8173333333333334
any_deranged,34,category_gate,1500,550,0.36666666666666664
any_deranged,34,mddc_strict,1500,109,0.07266666666666667
cross_category,34,structural_only,1500,1203,0.802
cross_category,34,category_gate,1500,518,0.3453333333333333
cross_category,34,mddc_strict,1500,86,0.05733333333333333
same_category_different_cve,34,structural_only,1500,1229,0.8193333333333334
same_category_different_cve,34,category_gate,1500,959,0.6393333333333333
same_category_different_cve,34,mddc_strict,1500,196,0.13066666666666665
any_deranged,35,structural_only,1500,1214,0.8093333333333333
any_deranged,35,category_gate,1500,572,0.38133333333333336
any_deranged,35,mddc_strict,1500,95,0.06333333333333334
cross_category,35,structural_only,1500,1207,0.8046666666666666
cross_category,35,category_gate,1500,524,0.34933333333333333
cross_category,35,mddc_strict,1500,96,0.064
same_category_different_cve,35,structural_only,1500,1197,0.798
same_category_different_cve,35,category_gate,1500,951,0.634
same_category_different_cve,35,mddc_strict,1500,183,0.122
any_deranged,36,structural_only,1500,1249,0.8326666666666667
any_deranged,36,category_gate,1500,585,0.39
any_deranged,36,mddc_strict,1500,99,0.066
cross_category,36,structural_only,1500,1172,0.7813333333333333
cross_category,36,category_gate,1500,471,0.314
cross_category,36,mddc_strict,1500,84,0.056
same_category_different_cve,36,structural_only,1500,1229,0.8193333333333334
same_category_different_cve,36,category_gate,1500,985,0.6566666666666666
same_category_different_cve,36,mddc_strict,1500,201,0.134
any_deranged,37,structural_only,1500,1217,0.8113333333333334
any_deranged,37,category_gate,1500,508,0.33866666666666667
any_deranged,37,mddc_strict,1500,105,0.07
cross_category,37,structural_only,1500,1180,0.7866666666666666
cross_category,37,category_gate,1500,515,0.3433333333333333
cross_category,37,mddc_strict,1500,89,0.059333333333333335
same_category_different_cve,37,structural_only,1500,1226,0.8173333333333334
same_category_different_cve,37,category_gate,1500,980,0.6533333333333333
same_category_different_cve,37,mddc_strict,1500,214,0.14266666666666666
any_deranged,38,structural_only,1500,1224,0.816
any_deranged,38,category_gate,1500,520,0.3466666666666667
any_deranged,38,mddc_strict,1500,88,0.058666666666666666
cross_category,38,structural_only,1500,1201,0.8006666666666666
cross_category,38,category_gate,1500,505,0.33666666666666667
cross_category,38,mddc_strict,1500,106,0.07066666666666667
same_category_different_cve,38,structural_only,1500,1239,0.826
same_category_different_cve,38,category_gate,1500,988,0.6586666666666666
same_category_different_cve,38,mddc_strict,1500,185,0.12333333333333334
any_deranged,39,structural_only,1500,1239,0.826
any_deranged,39,category_gate,1500,528,0.352
any_deranged,39,mddc_strict,1500,90,0.06
cross_category,39,structural_only,1500,1218,0.812
cross_category,39,category_gate,1500,503,0.3353333333333333
cross_category,39,mddc_strict,1500,73,0.048666666666666664
same_category_different_cve,39,structural_only,1500,1213,0.8086666666666666
same_category_different_cve,39,category_gate,1500,933,0.622
same_category_different_cve,39,mddc_strict,1500,202,0.13466666666666666
any_deranged,40,structural_only,1500,1233,0.822
any_deranged,40,category_gate,1500,546,0.364
any_deranged,40,mddc_strict,1500,114,0.076
cross_category,40,structural_only,1500,1206,0.804
cross_category,40,category_gate,1500,493,0.32866666666666666
cross_category,40,mddc_strict,1500,103,0.06866666666666667
same_category_different_cve,40,structural_only,1500,1223,0.8153333333333334
same_category_different_cve,40,category_gate,1500,965,0.6433333333333333
same_category_different_cve,40,mddc_strict,1500,222,0.148
any_deranged,41,structural_only,1500,1204,0.8026666666666666
any_deranged,41,category_gate,1500,534,0.356
any_deranged,41,mddc_strict,1500,89,0.059333333333333335
cross_category,41,structural_only,1500,1197,0.798
cross_category,41,category_gate,1500,483,0.322
cross_category,41,mddc_strict,1500,77,0.051333333333333335
same_category_different_cve,41,structural_only,1500,1247,0.8313333333333334
same_category_different_cve,41,category_gate,1500,975,0.65
same_category_different_cve,41,mddc_strict,1500,200,0.13333333333333333
any_deranged,42,structural_only,1500,1197,0.798
any_deranged,42,category_gate,1500,551,0.36733333333333335
any_deranged,42,mddc_strict,1500,95,0.06333333333333334
cross_category,42,structural_only,1500,1162,0.7746666666666666
cross_category,42,category_gate,1500,481,0.32066666666666666
cross_category,42,mddc_strict,1500,102,0.068
same_category_different_cve,42,structural_only,1500,1261,0.8406666666666667
same_category_different_cve,42,category_gate,1500,1021,0.6806666666666666
same_category_different_cve,42,mddc_strict,1500,220,0.14666666666666667
any_deranged,43,structural_only,1500,1244,0.8293333333333334
any_deranged,43,category_gate,1500,560,0.37333333333333335
any_deranged,43,mddc_strict,1500,93,0.062
cross_category,43,structural_only,1500,1148,0.7653333333333333
cross_category,43,category_gate,1500,485,0.3233333333333333
cross_category,43,mddc_strict,1500,99,0.066
same_category_different_cve,43,structural_only,1500,1239,0.826
same_category_different_cve,43,category_gate,1500,992,0.6613333333333333
same_category_different_cve,43,mddc_strict,1500,195,0.13
any_deranged,44,structural_only,1500,1225,0.8166666666666667
any_deranged,44,category_gate,1500,535,0.3566666666666667
any_deranged,44,mddc_strict,1500,102,0.068
cross_category,44,structural_only,1500,1205,0.8033333333333333
cross_category,44,category_gate,1500,491,0.3273333333333333
cross_category,44,mddc_strict,1500,82,0.05466666666666667
same_category_different_cve,44,structural_only,1500,1241,0.8273333333333334
same_category_different_cve,44,category_gate,1500,984,0.656
same_category_different_cve,44,mddc_strict,1500,197,0.13133333333333333
any_deranged,45,structural_only,1500,1257,0.838
any_deranged,45,category_gate,1500,581,0.3873333333333333
any_deranged,45,mddc_strict,1500,112,0.07466666666666667
cross_category,45,structural_only,1500,1222,0.8146666666666667
cross_category,45,category_gate,1500,520,0.3466666666666667
cross_category,45,mddc_strict,1500,83,0.05533333333333333
