dataset,policy,trials,n_pairs,mean_false_admissions,mean_false_admission_rate,max_false_admission_rate,threshold,true_admitted,n_true,true_recall,matched_to_mddc_recall,policy_note
BigVul,coverage_only_tuned,200,1500.0,30.03,0.020020000000000003,0.032,0.21052631578947367,2262,4432,0.5103790613718412,True,token-coverage threshold without category consistency
BigVul,mddc_strict_gate,200,1500.0,213.365,0.14224333333333333,0.16533333333333333,0.1,2247,4432,0.5069945848375451,True,category-consistent token evidence gate
BigVul,random_at_mddc_recall,200,1500.0,761.5,0.5076666666666667,0.5513333333333333,0.5069945848375451,2247,4432,0.5069945848375451,True,random admission at the same true-pair recall
BigVul,risk_score_tuned,200,1500.0,805.1,0.5367333333333333,0.574,5.1,2217,4432,0.5002256317689531,True,CVSS/BigVul score threshold tuned to MDDC recall
CVEfixes,coverage_only_tuned,200,1500.0,75.955,0.05063666666666666,0.07266666666666667,0.15,6267,12668,0.4947110830438901,True,token-coverage threshold without category consistency
CVEfixes,mddc_strict_gate,200,1500.0,206.36,0.13757333333333333,0.16333333333333333,0.1,6240,12668,0.4925797284496369,True,category-consistent token evidence gate
CVEfixes,random_at_mddc_recall,200,1500.0,738.985,0.4926566666666667,0.5286666666666666,0.4925797284496369,6240,12668,0.4925797284496369,True,random admission at the same true-pair recall
CVEfixes,risk_score_tuned,200,1500.0,737.24,0.49149333333333334,0.524,6.7,6246,12668,0.4930533628039154,True,CVSS/BigVul score threshold tuned to MDDC recall
