scenario,q_capital,s_quality,effective_gain,required_s_for_test_threshold,required_s_for_validation_threshold,crosses_interpolated_threshold,crosses_test_threshold_0_275,crosses_validation_threshold_0_325,activation_decision,controller_selected_policy,always_on_mddc_advantage_pct,penalty_prevented_vs_always_on,note
observed_patch_reuse_gain,0.0392,1.0,0.0392,7.0153061224489806,8.290816326530614,False,False,False,fallback_aec_only,AEC-only,-10.700157139582219,24.62642240478425,Observed same-CWE patch-scope efficiency gain from training artifacts.
current_all_static_qualified,0.03153153153153153,1.0,0.03153153153153153,8.721428571428573,10.307142857142859,False,False,False,fallback_aec_only,AEC-only,-11.099253835913338,25.54494385227281,"All generated candidates that pass static qualification, treated as an optimistic upper bound."
current_knowledge_static_qualified,0.036036036036036036,1.0,0.036036036036036036,7.6312500000000005,9.01875,False,False,False,fallback_aec_only,,,,"Knowledge-arm static-qualified capital, treated as an optimistic upper bound."
repo_applicability_upper_bound,0.13963963963963963,1.0,0.13963963963963963,1.9693548387096778,2.32741935483871,False,False,False,fallback_aec_only,,,,"Repository applicability without security qualification, an upper bound rather than admissible capital."
measured_property_delivery_proxy,0.4449792,0.0333,0.014817807360000003,0.6180064146818548,0.730371217351283,False,False,False,fallback_aec_only,AEC-only,-11.95556603514737,27.515747238953765,Measured property-guided delivery proxy from Exp XIII.
property_test_threshold,0.4449792,0.6180064146818548,0.275,0.6180064146818548,0.730371217351283,True,True,False,borderline_test_only,AEC-only,0.9940020051452858,0.0,Minimum property-path quality required to cross the held-out test frontier.
property_validation_threshold,0.4449792,0.730371217351283,0.325,0.6180064146818548,0.730371217351283,True,True,True,activate_mddc_validation_conservative,MDDC,3.3317641081328677,0.0,Minimum property-path quality required to cross the validation-period conservative frontier.
property_full_quality_upper_bound,0.4449792,1.0,0.4449792,0.6180064146818548,0.730371217351283,True,True,True,activate_mddc_validation_conservative,MDDC,8.920347609993081,0.0,Theoretical full-quality property-capital upper bound.
