dataset,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,validation_debt_cost,debt_adjusted_utility,meets_false_constraint,selection,distance_to_fixed_strict
BigVul,coverage_only,Coverage only,0.1794871794871795,2566,259,1866,2825,4432,8000,0.578971119133574,0.032375,0.9083185840707965,0.22723616473616473,0.21374402845341475,0.3652270906801593,True,qgdca_best_overall,
BigVul,coverage_only,Coverage only,0.1794871794871795,2566,259,1866,2825,4432,8000,0.578971119133574,0.032375,0.9083185840707965,0.22723616473616473,0.21374402845341475,0.3652270906801593,True,qgdca_best_under_false_constraint,
BigVul,category_plus_coverage,Category+coverage,0.0975609756097561,2247,1140,2185,3387,4432,8000,0.5069945848375451,0.1425,0.6634189548272807,0.27244208494208494,0.5643734580377179,-0.05737887320017285,True,fixed_strict_0_10,0.0024390243902439046
CVEfixes,coverage_only,Coverage only,0.14516129032258066,6501,484,6167,6985,12668,8000,0.5131828228607515,0.0605,0.9307086614173228,0.33796206696342174,0.3201023976329832,0.19308042522776825,True,qgdca_best_overall,
CVEfixes,coverage_only,Coverage only,0.14516129032258066,6501,484,6167,6985,12668,8000,0.5131828228607515,0.0605,0.9307086614173228,0.33796206696342174,0.3201023976329832,0.19308042522776825,True,qgdca_best_under_false_constraint,
CVEfixes,category_plus_coverage,Category+coverage,0.10084033613445378,6123,1067,6545,7190,12668,8000,0.4833438585412062,0.133375,0.8515994436717663,0.3478807818850397,0.5466830744589504,-0.06333921591774418,True,fixed_strict_0_10,0.0008403361344537785
