dataset,false_cost,miss_cost,review_cost,alpha,selected_policy,selected_policy_label,threshold,recall,false_admission_rate,precision,review_rate,utility
BigVul,1.0,0.0,0.1,0.2,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.557645662875356
BigVul,1.0,0.0,0.1,0.3,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.557645662875356
BigVul,1.0,0.0,0.2,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5167453299741205
BigVul,1.0,0.0,0.2,0.1,coverage_only,Coverage only,0.1395348837209302,0.6583935018050542,0.07275,0.8337142857142857,0.2815315315315315,0.5293371954987479
BigVul,1.0,0.0,0.2,0.15,coverage_only,Coverage only,0.1395348837209302,0.6583935018050542,0.07275,0.8337142857142857,0.2815315315315315,0.5293371954987479
BigVul,1.0,0.0,0.2,0.2,coverage_only,Coverage only,0.1395348837209302,0.6583935018050542,0.07275,0.8337142857142857,0.2815315315315315,0.5293371954987479
BigVul,1.0,0.0,0.2,0.3,coverage_only,Coverage only,0.1395348837209302,0.6583935018050542,0.07275,0.8337142857142857,0.2815315315315315,0.5293371954987479
BigVul,1.0,0.1,0.0,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5286935920577617
BigVul,1.0,0.1,0.0,0.1,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5523289711191335
BigVul,1.0,0.1,0.0,0.15,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5523289711191335
BigVul,1.0,0.1,0.0,0.2,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5523289711191335
BigVul,1.0,0.1,0.0,0.3,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5523289711191335
BigVul,1.0,0.1,0.02,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5236630257771954
BigVul,1.0,0.1,0.02,0.1,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.546632381672544
BigVul,1.0,0.1,0.02,0.15,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.546632381672544
BigVul,1.0,0.1,0.02,0.2,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.546632381672544
BigVul,1.0,0.1,0.02,0.3,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.546632381672544
BigVul,1.0,0.1,0.05,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.516117176356346
BigVul,1.0,0.1,0.05,0.1,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5380874975026598
BigVul,1.0,0.1,0.05,0.15,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5380874975026598
BigVul,1.0,0.1,0.05,0.2,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5380874975026598
BigVul,1.0,0.1,0.05,0.3,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5380874975026598
BigVul,1.0,0.1,0.1,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5035407606549303
