mode,trial,n_pairs,structural_only_admitted,category_gate_admitted,strict_mddc_gate_admitted
same_category_different_cve,48,1500,1498,998,201
any_deranged,49,1500,1400,740,145
cross_category,49,1500,1499,744,140
same_category_different_cve,49,1500,1499,984,216
any_deranged,50,1500,1393,740,145
cross_category,50,1500,1500,729,134
same_category_different_cve,50,1500,1498,987,220
any_deranged,51,1500,1388,735,136
cross_category,51,1500,1499,747,113
same_category_different_cve,51,1500,1500,1018,217
any_deranged,52,1500,1393,715,136
cross_category,52,1500,1500,723,134
same_category_different_cve,52,1500,1499,988,207
any_deranged,53,1500,1394,743,136
cross_category,53,1500,1500,786,135
same_category_different_cve,53,1500,1500,987,193
any_deranged,54,1500,1376,722,122
cross_category,54,1500,1497,749,126
same_category_different_cve,54,1500,1499,999,196
any_deranged,55,1500,1394,718,115
cross_category,55,1500,1500,744,127
same_category_different_cve,55,1500,1498,971,206
any_deranged,56,1500,1390,718,116
cross_category,56,1500,1500,750,127
same_category_different_cve,56,1500,1500,1015,242
any_deranged,57,1500,1392,707,125
cross_category,57,1500,1499,734,142
same_category_different_cve,57,1500,1499,1020,237
any_deranged,58,1500,1394,731,137
cross_category,58,1500,1498,770,129
same_category_different_cve,58,1500,1500,1032,215
any_deranged,59,1500,1385,718,129
cross_category,59,1500,1500,726,138
same_category_different_cve,59,1500,1500,966,208
any_deranged,60,1500,1394,742,117
cross_category,60,1500,1499,748,119
same_category_different_cve,60,1500,1499,1015,233
any_deranged,61,1500,1401,738,118
cross_category,61,1500,1499,757,143
same_category_different_cve,61,1500,1499,995,227
any_deranged,62,1500,1393,765,120
cross_category,62,1500,1498,741,134
same_category_different_cve,62,1500,1499,959,205
any_deranged,63,1500,1392,728,117
cross_category,63,1500,1499,757,113
same_category_different_cve,63,1500,1499,955,203
any_deranged,64,1500,1397,727,110
cross_category,64,1500,1500,744,129
same_category_different_cve,64,1500,1499,951,205
any_deranged,65,1500,1383,748,119
cross_category,65,1500,1498,747,121
same_category_different_cve,65,1500,1500,981,219
any_deranged,66,1500,1406,727,119
cross_category,66,1500,1499,751,126
same_category_different_cve,66,1500,1500,996,197
any_deranged,67,1500,1413,743,160
cross_category,67,1500,1500,754,124
same_category_different_cve,67,1500,1497,988,215
any_deranged,68,1500,1394,707,125
cross_category,68,1500,1500,756,130
same_category_different_cve,68,1500,1499,982,211
any_deranged,69,1500,1398,752,141
cross_category,69,1500,1500,747,143
same_category_different_cve,69,1500,1499,1015,214
any_deranged,70,1500,1385,716,114
cross_category,70,1500,1499,755,122
same_category_different_cve,70,1500,1498,1002,218
any_deranged,71,1500,1395,721,138
cross_category,71,1500,1500,741,124
same_category_different_cve,71,1500,1499,990,216
any_deranged,72,1500,1386,761,128
cross_category,72,1500,1500,749,126
same_category_different_cve,72,1500,1500,989,208
any_deranged,73,1500,1389,726,135
cross_category,73,1500,1499,739,115
same_category_different_cve,73,1500,1498,984,220
any_deranged,74,1500,1391,693,113
cross_category,74,1500,1500,737,131
same_category_different_cve,74,1500,1499,949,188
any_deranged,75,1500,1400,701,106
cross_category,75,1500,1500,769,122
same_category_different_cve,75,1500,1499,972,196
any_deranged,76,1500,1406,712,130
cross_category,76,1500,1499,741,121
same_category_different_cve,76,1500,1498,979,194
any_deranged,77,1500,1380,732,144
cross_category,77,1500,1500,764,141
same_category_different_cve,77,1500,1497,968,207
any_deranged,78,1500,1389,732,129
cross_category,78,1500,1499,715,122
same_category_different_cve,78,1500,1497,984,220
any_deranged,79,1500,1396,737,120
cross_category,79,1500,1498,765,146
same_category_different_cve,79,1500,1499,997,205
any_deranged,80,1500,1385,721,116
cross_category,80,1500,1500,734,124
same_category_different_cve,80,1500,1499,986,190
any_deranged,81,1500,1410,705,136
cross_category,81,1500,1499,734,136
same_category_different_cve,81,1500,1498,1002,216
any_deranged,82,1500,1397,712,135
cross_category,82,1500,1499,748,140
same_category_different_cve,82,1500,1499,1014,247
